season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,routes,player_game_count,weighting_stat,player_game_stat,weighted_injury_score
2023,REG,ARZ,1,00-0035662,WR,Marquise Brown,Marquise,Brown,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 18:50:02,injury_reports_2023.csv,1.0,WR,ARI,Marquise Brown,ARZ,460,14,460,14,32.857142857142854
2023,REG,ARZ,4,00-0035662,WR,Marquise Brown,Marquise,Brown,Thumb,,Questionable,Thumb,,Limited Participation in Practice,2023-09-29 19:35:35,injury_reports_2023.csv,1.0,WR,ARI,Marquise Brown,ARZ,460,14,460,14,32.857142857142854
2023,REG,ARZ,6,00-0035662,WR,Marquise Brown,Marquise,Brown,Illness,,Questionable,Illness,,Limited Participation in Practice,2023-10-13 19:46:10,injury_reports_2023.csv,1.0,WR,ARI,Marquise Brown,ARZ,460,14,460,14,32.857142857142854
2023,REG,ARZ,12,00-0035662,WR,Marquise Brown,Marquise,Brown,Heel,,Questionable,Heel,,Did Not Participate In Practice,2023-11-24 20:55:44,injury_reports_2023.csv,1.0,WR,ARI,Marquise Brown,ARZ,460,14,460,14,32.857142857142854
2023,REG,ARZ,13,00-0035662,WR,Marquise Brown,Marquise,Brown,Heel,,Questionable,Heel,,Did Not Participate In Practice,2023-12-01 19:24:24,injury_reports_2023.csv,1.0,WR,ARI,Marquise Brown,ARZ,460,14,460,14,32.857142857142854
2023,REG,ARZ,15,00-0035662,WR,Marquise Brown,Marquise,Brown,Heel,,Questionable,Heel,,Limited Participation in Practice,2023-12-15 20:49:02,injury_reports_2023.csv,1.0,WR,ARI,Marquise Brown,ARZ,460,14,460,14,32.857142857142854
2023,REG,ARZ,16,00-0035662,WR,Marquise Brown,Marquise,Brown,Heel,,Out,Heel,,Did Not Participate In Practice,2023-12-22 20:06:07,injury_reports_2023.csv,3.0,WR,ARI,Marquise Brown,ARZ,460,14,460,14,98.57142857142857
2023,REG,ARZ,17,00-0035662,WR,Marquise Brown,Marquise,Brown,Heel,,Out,Heel,,Did Not Participate In Practice,2023-12-29 19:35:19,injury_reports_2023.csv,3.0,WR,ARI,Marquise Brown,ARZ,460,14,460,14,98.57142857142857
2023,REG,ARZ,1,00-0030061,TE,Zach Ertz,Zach,Ertz,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08 18:50:02,injury_reports_2023.csv,1.0,TE,ARI,Zach Ertz,ARZ,186,7,186,7,26.571428571428573
2023,REG,ATL,1,00-0033858,TE,Jonnu Smith,Jonnu,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-06 20:54:47,injury_reports_2023.csv,0.0,TE,ATL,Jonnu Smith,ATL,375,17,375,17,0.0
2023,REG,ATL,2,00-0033858,TE,Jonnu Smith,Jonnu,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-13 20:56:38,injury_reports_2023.csv,0.0,TE,ATL,Jonnu Smith,ATL,375,17,375,17,0.0
2023,REG,ATL,6,00-0033858,TE,Jonnu Smith,Jonnu,Smith,,,,Ankle,,Full Participation in Practice,2023-10-13 17:07:54,injury_reports_2023.csv,0.0,TE,ATL,Jonnu Smith,ATL,375,17,375,17,0.0
2023,REG,ATL,1,00-0034854,WR,KhaDarel Hodge,KhaDarel,Hodge,Ankle,,Questionable,Ankle,,Full Participation in Practice,2023-09-08 17:43:18,injury_reports_2023.csv,1.0,WR,ATL,KhaDarel Hodge,ATL,183,17,183,17,10.764705882352942
2023,REG,BLT,1,00-0034753,TE,Mark Andrews,Mark,Andrews,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,2023-09-08 19:57:27,injury_reports_2023.csv,1.0,TE,BAL,Mark Andrews,BLT,290,11,290,11,26.363636363636363
2023,REG,BLT,2,00-0034753,TE,Mark Andrews,Mark,Andrews,Quadricep,,Questionable,Quadricep,,Full Participation in Practice,2023-09-15 18:37:04,injury_reports_2023.csv,1.0,TE,BAL,Mark Andrews,BLT,290,11,290,11,26.363636363636363
2023,REG,BLT,12,00-0034753,TE,Mark Andrews,Mark,Andrews,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-11-24 21:28:28,injury_reports_2023.csv,3.0,TE,BAL,Mark Andrews,BLT,290,11,290,11,79.0909090909091
2023,REG,CAR,1,00-0036635,WR,Ihmir Smith-Marsette,Ihmir,Smith-Marsette,,,,Ankle,,Full Participation in Practice,2023-09-08 16:58:43,injury_reports_2023.csv,0.0,WR,CAR,Ihmir Smith-Marsette,CAR,55,13,55,13,0.0
