team_name,position,weighted_injury_score,injury_score,snap_share,snap_counts_defense
ARZ,CB,1.2347560975609757,9.0,1.0,2624
ARZ,DI,0.6304199385455787,9.0,1.0,5858
ARZ,ED,1.9023866348448688,21.0,1.0,4190
ARZ,LB,0.5881324747010119,15.0,1.0,10870
ARZ,S,0.6608342989571263,9.0,1.0,8630
ATL,CB,0.5370455591348366,6.0,1.0,6519
ATL,DI,0.583728813559322,6.0,1.0,4425
ATL,ED,0.0,0.0,0.9999999999999999,11023
ATL,LB,0.47260869565217395,9.0,1.0,6900
ATL,S,1.0802919708029197,6.0,1.0,2055
BLT,CB,0.7960022567905214,27.0,1.0,12407
BLT,DI,0.0,0.0,1.0,1547
BLT,ED,0.0,0.0,1.0,761
BLT,LB,0.46984609287271284,24.0,1.0,15139
BLT,S,0.7779868297271871,18.0,1.0,12756
BUF,CB,0.35318835237744195,9.0,1.0,13565
BUF,DI,0.6255742725880551,3.0,1.0,3918
BUF,ED,0.14464993394980186,3.0,1.0,9084
BUF,LB,0.06408114558472554,9.0,1.0,8380
BUF,S,0.838946614116804,18.0,1.0,16746
CAR,CB,0.24599615631005767,6.0,1.0,9366
CAR,DI,0.0,0.0,1.0,443
CAR,ED,0.4334637964774951,3.0,1.0,3066
CAR,LB,0.20749513303049966,6.0,1.0,18492
CAR,S,1.0962297238053484,21.0,1.0,13686
CHI,CB,0.9621405169275572,24.0,1.0,10988
CHI,ED,0.0,0.0,1.0,2638
CHI,LB,1.747914735866543,21.0,1.0,3237
CHI,S,0.7431818181818182,12.0,1.0,11440
CIN,CB,0.3468177392228025,6.0,0.9999999999999999,11297
CIN,DI,0.2231147965794247,3.0,1.0,3859
CIN,ED,0.5422868741542626,9.0,1.0,8868
CIN,LB,0.20738302374794262,9.0,1.0,4253
CIN,S,0.0,0.0,1.0,1658
CLV,CB,0.5571806833942756,9.0,1.0,7931
CLV,DI,0.0,0.0,1.0,4890
CLV,ED,0.19227419437471183,6.0,1.0,19519
CLV,LB,0.5083798882681564,9.0,0.9999999999999999,4296
CLV,S,0.771681691016475,15.0,1.0,12868
DAL,CB,0.022358365439272405,6.0,1.0,15833
DAL,DI,0.5350230414746544,9.0,1.0,6510
DAL,ED,0.0,0.0,1.0,1886
DAL,LB,0.13227339780363875,3.0,1.0,6101
DAL,S,0.0,0.0,1.0,14876
DEN,CB,0.0,0.0,1.0,490
DEN,DI,0.419959266802444,6.0,1.0,7365
DEN,ED,0.0,0.0,1.0,1062
DEN,LB,0.8048101265822785,18.0,0.9999999999999999,11850
DEN,S,0.48242001900538484,6.0,1.0,9471
DET,CB,0.8513278441377712,24.0,1.0,8623
DET,DI,0.22388059701492535,3.0,1.0,3417
DET,ED,1.0095677994061365,6.0,1.0,3031
DET,LB,0.08344370860927153,9.0,1.0,4530
DET,S,0.7287018255578093,6.0,1.0,7888
GB,CB,0.020639189442741884,3.0,1.0,15989
GB,DI,0.0,0.0,1.0,973
GB,ED,0.0,0.0,1.0,6228
GB,LB,0.22025181769817345,9.0,1.0,28195
GB,S,0.36609090373165126,18.0,1.0,16963
HST,CB,0.3250230840258541,9.0,1.0,9747
HST,DI,0.1569862374620947,3.0,1.0,12861
HST,ED,0.8425800631483987,9.0,1.0,6651
HST,LB,0.8994391906751704,33.0,1.0,18188
HST,S,1.436870503597122,27.0,1.0,11120
IND,CB,0.0,0.0,1.0,1650
IND,DI,0.0,0.0,1.0,13010
IND,ED,0.6240713224368499,3.0,1.0,3365
IND,LB,0.06734335350380637,3.0,1.0,5123
JAX,CB,1.272141255605381,21.0,1.0,7136
JAX,DI,0.0,0.0,1.0,3026
JAX,ED,0.43543543543543545,3.0,1.0,999
JAX,LB,1.1507681917946986,9.0,1.0,5923
JAX,S,0.6958622772576261,15.0,1.0,6622
KC,CB,0.17973736091155143,6.0,1.0,29927
KC,DI,0.0,0.0,1.0,5250
KC,ED,0.0,0.0,1.0,4896
KC,LB,0.6498201548497227,15.0,1.0,16403
KC,S,0.1734763529985373,3.0,1.0,10255
LA,CB,0.03858520900321544,3.0,1.0,5909
LA,DI,0.05242718446601942,3.0,1.0,14935
LA,ED,0.0,0.0,1.0,636
LA,LB,0.18045662100456622,3.0,1.0,16425
LA,S,0.5225473321858863,6.0,1.0,5810
LAC,CB,0.693507994606049,12.0,1.0,5191
LAC,DI,0.3604525862068965,3.0,1.0,1856
LAC,ED,0.20103308669551864,9.0,1.0,14326
LAC,LB,0.6173861620342992,6.0,1.0,5073
LAC,S,0.48157758173326415,3.0,1.0,5781
LV,CB,0.5821723059425646,15.0,1.0,14068
LV,DI,0.0,0.0,1.0,2978
LV,ED,0.0,0.0,1.0,18619
LV,LB,0.5323814380418154,12.0,1.0,9805
LV,S,0.0,0.0,1.0,4258
MIA,CB,0.36687434526106855,12.0,1.0,18137
MIA,DI,0.0,0.0,1.0,1062
MIA,ED,0.0,0.0,1.0,2178
MIA,LB,0.36939611054247695,6.0,1.0,9770
MIA,S,0.36759850319172355,9.0,1.0,13629
MIN,CB,0.6446074345724286,6.0,1.0,5999
MIN,DI,0.1434684117795117,6.0,1.0,3973
MIN,ED,0.4395377631035906,6.0,1.0,2423
MIN,LB,0.0,0.0,1.0,2663
MIN,S,0.09636454183266932,9.0,0.9999999999999999,8032
NE,CB,0.14412429067269023,6.0,1.0,18151
NE,DI,0.0,0.0,1.0,15295
NE,ED,1.5,3.0,1.0,1044
NE,LB,0.0,0.0,1.0,10599
NE,S,0.3995258680797657,3.0,1.0,7171
NO,CB,0.9346703733121526,6.0,1.0,5036
NO,DI,0.0,0.0,1.0,1641
NO,ED,0.16860803727431564,18.0,1.0,6868
NO,LB,0.4458609004356947,6.0,1.0,6197
NO,S,0.4604048824054778,15.0,1.0,6718
NYG,CB,0.4806311317892181,6.0,1.0,9887
NYG,DI,0.12741846323935876,3.0,0.9999999999999999,10854
NYG,ED,0.75,6.0,1.0,3392
NYG,LB,0.0,0.0,1.0,8169
NYG,S,0.6182225845902976,3.0,1.0,4906
NYJ,CB,1.9999999999999998,12.0,1.0,3408
NYJ,DI,0.0,0.0,1.0,966
NYJ,ED,0.0,0.0,1.0,6193
NYJ,LB,0.011913986826811312,12.0,1.0,10324
NYJ,S,1.095554632322393,6.0,1.0,4814
PHI,CB,1.4457421957952856,30.0,1.0,14127
PHI,DI,0.47369655280231376,12.0,1.0,12793
PHI,ED,0.0,0.0,1.0,1750
PHI,LB,0.6409374717220161,9.0,1.0,11051
PHI,S,1.296095954844779,27.0,1.0,8504
PIT,CB,0.00598035027765912,3.0,1.0,14046
PIT,DI,0.25890992386983763,9.0,1.0,14843
PIT,ED,3.0,3.0,1.0,206
PIT,LB,0.3786905246034974,6.0,1.0,12295
PIT,S,1.3155358519660756,27.0,1.0,10376
SEA,CB,0.2678255165628075,15.0,1.0,15245
SEA,DI,0.004304722149752152,3.0,1.0,15332
SEA,ED,0.025161290322580646,3.0,1.0,3100
SEA,LB,0.07181280258203336,9.0,1.0,22308
SEA,S,0.3800440205429201,12.0,1.0,16356
SF,CB,0.21460674157303372,3.0,1.0,8010
SF,DI,1.5610253794158908,18.0,1.0,7841
SF,ED,0.12547288776796975,3.0,1.0,4758
SF,LB,0.2241007504528595,6.0,1.0,11593
SF,S,1.4096385542168675,6.0,1.0,2324
TB,CB,1.566052467207995,18.0,1.0,6404
TB,DI,0.686532507739938,21.0,1.0,11628
